question_id,category,difficulty,phrasing_number,prompt,expected_answer,model_response,exact_match_score,fuzzy_match_score,llm_judge_score,response_time,phrasing_sensitivity
12,logic,medium,3,Name the next day after Monday.,Tuesday,"The days of the week, in order, are:

1. Monday
2. Tuesday
3. Wednesday
4. Thursday
5. Friday
6. Saturday
7. Sunday

So, the next day after Monday would be Tuesday.",1,1.0,5,3.01,0.0
13,factual,easy,1,What is the tallest mountain in the world?,Mount Everest,"The tallest mountain in the world is Mount Everest, located in the Himalayas on the border between Nepal and Tibet, China. It stands at a height of 8,848.86 meters (29,031.7 feet) above sea level, as per the measurement taken by China and Nepal in 2020.",1,1.0,5,2.64,0.0
13,factual,easy,2,Name the world's highest mountain.,Mount Everest,"The world's highest mountain is Mount Everest, located in the Himalayas on the border between Nepal and Tibet, China. It stands at a height of 8,848.86 meters (29,031.7 feet) above sea level.",1,1.0,5,2.81,0.0
13,factual,easy,3,Which mountain has the highest peak on Earth?,Mount Everest,"The mountain with the highest peak on Earth is Mount Everest, which is part of the Himalayas. It is located on the border between Nepal and Tibet, China. The height of Mount Everest is 8,848.86 meters (29,031.7 feet) above sea level.",1,1.0,5,3.12,0.0
14,math,medium,1,What is 12 squared?,144,"To find the square of 12, you multiply 12 by itself. 

12 * 12 = 144",1,1.0,4,3.56,0.0
14,math,medium,2,Calculate 12 × 12.,144,12 × 12 = 144.,1,1.0,5,2.58,0.0
14,math,medium,3,Find the square of 12.,144,"To find the square of 12, we multiply 12 by itself.

12 * 12 = 144",1,1.0,4,2.73,0.0
15,coding,medium,1,Which Python function displays output?,print,"In Python, the following functions are used to display output:

1. **`print()`**: This is the most commonly used function to display output in Python. It takes one or more arguments and prints them to the console.

   ```python
print(""Hello, World!"")
```

2. **`input()`**: This function is used to get input from the user and display it back to them. It takes a string argument that is displayed to the user, and returns a string that is the user's input.

   ```python
name = input(""What is your name? "")
print(""Hello, "" + name + ""!"")
```

3. **`print()` with f-strings**: Python 3.6 and later versions support f-strings, which allow you to embed expressions inside string literals.

   ```python
name = ""John""
age = 30
print(f""My name is {name} and I am {age} years old."")
```

4. **`print()` with format()**: Python's `print()` function also supports the `format()` method, which allows you to embed expressions inside string literals.

   ```python
name = ""John""
age = 30
print(""My name is {} and I am {} years old."".format(name, age))
```

5. **`print()` with % operator**: Python's `print()` function also supports the `%` operator, which allows you to embed expressions inside string literals.

   ```python
name = ""John""
age = 30
print(""My name is %s and I am %d years old."" % (name, age))
```",1,1.0,4,3.77,0.0
15,coding,medium,2,How do you print text in Python?,print,"**Printing Text in Python**
=====================================

In Python, you can print text using the built-in `print()` function. Here's a basic example:

```python
print(""Hello, World!"")
```

This will output:

```
Hello, World!
```

**Printing Multiple Lines**
---------------------------

You can print multiple lines by separating them with a newline character (`\n`):

```python
print(""Hello, World!"")
print(""This is a new line."")
```

This will output:

```
Hello, World!
This is a new line.
```

**Printing Variables**
----------------------

You can also print variables by passing them as arguments to the `print()` function:

```python
name = ""John""
age = 30
print(f""My name is {name} and I am {age} years old."")
```

This will output:

```
My name is John and I am 30 years old.
```

**Printing with Formatting**
---------------------------

Python has several ways to format text when printing. Here are a few examples:

### 1. String Formatting

```python
name = ""John""
age = 30
print(""My name is %s and I am %d years old."" % (name, age))
```

This will output:

```
My name is John and I am 30 years old.
```

### 2. F-Strings (Python 3.6+)

```python
name = ""John""
age = 30
print(f""My name is {name} and I am {age} years old."")
```

This will output:

```
My name is John and I am 30 years old.
```

### 3. Format Function

```python
name = ""John""
age = 30
print(""My name is {} and I am {} years old."".format(name, age))
```

This will output:

```
My name is John and I am 30 years old.
```

**Best Practices**
------------------

* Use the `print()` function to print text.
* Use f-strings for formatting text (Python 3.6+).
* Avoid using `print()` statements for debugging; use a debugger or logging instead.",1,1.0,5,3.95,0.0
15,coding,medium,3,Name the Python function used for output.,print,"The Python function used for output is `print()`. This function is used to output text or other values to the screen. It can also be used to output to other devices, such as files or network connections.

Here's a basic example of how to use the `print()` function:

```python
print(""Hello, World!"")
```

This will output the string ""Hello, World!"" to the screen.",1,1.0,5,1.29,0.0
16,factual,easy,1,Which is the largest planet in the solar system?,Jupiter,"The largest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth. Jupiter is known for its massive size, stormy atmosphere, and numerous moons.",1,1.0,5,3.35,0.0
16,factual,easy,2,Name the biggest planet in our solar system.,Jupiter,"The biggest planet in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles).",1,1.0,5,2.86,0.0
16,factual,easy,3,What planet has the greatest size in the solar system?,Jupiter,"The planet with the greatest size in our solar system is Jupiter. It is a gas giant, with a diameter of approximately 142,984 kilometers (88,846 miles). This is more than 11 times the diameter of the Earth.",1,1.0,5,3.11,0.0
17,logic,medium,1,How many days are there in one week?,7,"There are 7 days in one week. The days of the week are:

1. Monday
2. Tuesday
3. Wednesday
4. Thursday
5. Friday
6. Saturday
7. Sunday",1,1.0,5,3.5,0.0
17,logic,medium,2,Count the days in a week.,7,"There are 7 days in a week. 

1. Monday
2. Tuesday
3. Wednesday
4. Thursday
5. Friday
6. Saturday
7. Sunday",1,1.0,1,3.5,0.0
17,logic,medium,3,What is the total number of weekdays and weekend days in one week?,7,"There are 7 days in a week. 

- Weekdays: Monday to Friday (5 days)
- Weekend days: Saturday and Sunday (2 days)

So, the total number of weekdays and weekend days in one week is 5 + 2 = 7.",1,1.0,5,4.41,0.0
18,math,easy,1,What is 9 multiplied by 9?,81,9 multiplied by 9 is 81.,1,1.0,1,3.17,0.0
18,math,easy,2,Calculate 9 × 9.,81,9 × 9 = 81.,1,1.0,1,3.2,0.0
18,math,easy,3,Find the product of 9 and 9.,81,The product of 9 and 9 is 81.,1,1.0,1,3.22,0.0
19,coding,medium,1,What file extension is used for Python files?,.py,The file extension used for Python files is `.py`.,1,1.0,4,3.41,0.0
19,coding,medium,2,Which extension identifies Python scripts?,.py,The extension that identifies Python scripts is `.py`.,1,1.0,4,3.67,0.0
19,coding,medium,3,Name the standard extension for Python programs.,.py,The standard extension for Python programs is `.py`.,1,1.0,4,3.48,0.0
20,factual,easy,1,Which gas do humans need to breathe?,Oxygen,"Humans need to breathe in oxygen (O2) to survive. Oxygen is a colorless, odorless, and tasteless gas that makes up approximately 21% of the Earth's atmosphere. It is essential for the proper functioning of the human body, particularly for the process of cellular respiration, where oxygen is used to convert glucose into energy.",1,1.0,5,3.28,0.0
20,factual,easy,2,Name the gas essential for human respiration.,Oxygen,The gas essential for human respiration is oxygen (O2).,1,1.0,1,1.5,0.0
20,factual,easy,3,What gas is required for breathing?,Oxygen,"For breathing, the two essential gases required are:

1. **Oxygen (O2)**: This is the primary gas that is inhaled into the lungs, where it is absorbed into the bloodstream and transported to the body's cells to support various metabolic processes.

2. **Carbon dioxide (CO2)**: This is the waste gas that is produced by the body's cells as a byproduct of metabolism. It is then exhaled out of the body through the lungs.

In addition to these two gases, breathing also involves the exchange of other gases, such as nitrogen (N2), which makes up a significant portion of the air we breathe, but is not directly involved in the metabolic processes.",1,1.0,4,3.5,0.0
